from,to,amount
AD,BE,387534
AD,DE,137004
AD,ES,19678831
AD,FR,5379626
AD,IT,144822
AD,MA,121763
AD,PH,203436
AD,PT,2823033
AE,AF,104260
AE,BD,241330224
AE,EG,195348327
AE,ET,1800895
AE,FR,13436608
AE,GB,2996590
AE,ID,77000646
AE,IL,4461572
AE,IN,1382258968
AE,IR,36990283
AE,JO,86351947
AE,LB,26617875
AE,LK,65258081
AE,MA,2504535
AE,NG,16963885
AE,NL,480016
AE,NP,83602325
AE,PH,410850878
AE,PK,566993607
AE,QA,3186023
AE,SA,728588
AE,SD,2444001
AE,SY,3168291
AE,TH,7274356
AE,TN,1681044
AE,TR,1567846
AE,US,3320965
AE,YE,58976757
AF,PK,11872637
AF,TJ,6291610
AG,BM,141958
AG,DM,340481
AG,DO,704150
AG,ET,110374
AG,GY,322787
AG,JM,754266
AG,US,534979
AL,BA,3021085
AL,EG,205799
AL,GR,2449390
AL,HR,3248853
AL,HU,543544
AL,IT,321736
AL,ME,823903
AL,MK,209042
AL,RS,8372801
AL,SI,185680
AL,US,222646
AM,AZ,17389993
AM,DE,246932
AM,GE,7973722
AM,IR,651807
AM,LB,875773
AM,RU,1169890
AM,SY,470643
AM,UA,289501
AO,CV,806397
AO,PT,2886080
AO,ST,300052
AO,ZA,560025
AR,AM,176111
AR,AT,920765
AR,AU,466655
AR,BE,2367369
AR,BO,69359509
AR,BR,7127420
AR,CA,202690
AR,CH,763725
AR,CL,3302648
AR,CN,9345053
AR,CO,10680557
AR,CR,246604
AR,CZ,456658
AR,DE,4178854
AR,DK,218662
AR,DO,4155997
AR,EC,2366298
AR,EG,138024
AR,ES,84665960
AR,FR,12524323
AR,GB,254081
AR,GT,336594
AR,HN,140864
AR,HR,341052
AR,HU,727560
AR,IL,450862
AR,IN,767394
AR,IT,47316357
AR,JP,1800945
AR,KR,541604
AR,LB,818528
AR,ME,178595
AR,MX,2333862
AR,NC,3181684
AR,NL,195534
AR,PA,238394
AR,PE,46035464
AR,PH,1630626
AR,PL,1062170
AR,PT,1541044
AR,PY,59430859
AR,RO,125036
AR,RU,196531
AR,SE,446119
AR,SI,248959
AR,SN,192572
AR,SV,129244
AR,UA,717217
AR,US,5664012
AR,UY,3541610
AR,VE,453390
AS,CN,482635
AS,PH,692844
AS,TO,368851
AS,US,751354
AS,VN,122694
AS,WS,3270565
AT,AL,358364
AT,AM,660546
AT,AR,108168
AT,AU,971572
AT,BA,19284693
AT,BD,555387
AT,BE,4891539
AT,BG,2820790
AT,BM,224768
AT,BR,795410
AT,BY,131936
AT,CA,248176
AT,CH,5898867
AT,CN,11421929
AT,CO,365576
AT,CZ,29353451
AT,DE,83380230
AT,DK,696798
AT,DO,1377749
AT,DZ,151830
AT,EC,162399
AT,EE,109321
AT,EG,8470597
AT,ES,3546007
AT,ET,149779
AT,FI,408254
AT,FR,11400820
AT,GB,918733
AT,GE,900630
AT,GH,931688
AT,GM,231406
AT,GR,126589
AT,GT,290382
AT,HR,10482866
AT,HU,38353289
AT,ID,262715
AT,IL,677183
AT,IN,7215029
AT,IQ,255834
AT,IR,1274425
AT,IT,8360791
AT,JO,406588
AT,JP,1315618
AT,KE,467319
AT,KG,274586
AT,LB,1789746
AT,LK,386051
AT,LR,107320
AT,LT,200873
AT,LU,1968895
AT,LV,259014
AT,MA,482696
AT,MD,395861
AT,ME,3448372
AT,MK,1122292
AT,MN,692930
AT,MX,334406
AT,NG,19410679
AT,NL,1162654
AT,NO,283451
AT,NP,200898
AT,PE,362145
AT,PH,7256880
AT,PK,1749509
AT,PL,11177057
AT,PT,402968
AT,RO,10930834
AT,RS,37875756
AT,RU,2320145
AT,SE,2753851
AT,SI,4571245
AT,SK,10912969
AT,SN,196364
AT,SY,150844
AT,TH,3706618
AT,TJ,134612
AT,TN,1051255
AT,TR,5382328
AT,UA,1291578
AT,UG,168176
AT,US,2253228
AT,VN,1748064
AT,ZA,315109
AU,AF,317620
AU,AL,352421
AU,AM,273181
AU,AR,1068866
AU,AT,12102746
AU,BA,5025834
AU,BD,6091535
AU,BE,13832144
AU,BG,608275
AU,BM,6198873
AU,BO,165557
AU,BR,2786880
AU,BY,125435
AU,CA,4682769
AU,CH,6055057
AU,CL,539394
AU,CN,292183105
AU,CO,3103004
AU,CR,189254
AU,CY,5091761
AU,CZ,10479904
AU,DE,55641400
AU,DK,5940673
AU,DZ,165833
AU,EC,522909
AU,EE,946687
AU,EG,25309625
AU,ES,14653939
AU,ET,1111304
AU,FI,2682308
AU,FJ,2874237
AU,FR,42437048
AU,GB,108407421
AU,GE,123166
AU,GH,1715501
AU,GR,4379744
AU,GT,352813
AU,HK,5281318
AU,HN,175561
AU,HR,19477580
AU,HU,20008596
AU,ID,17200213
AU,IE,6012415
AU,IL,3350969
AU,IN,194384771
AU,IQ,2431027
AU,IR,3006974
AU,IS,311688
AU,IT,73351654
AU,JM,243358
AU,JO,3185668
AU,JP,25147605
AU,KE,7548826
AU,KG,148531
AU,KH,1422586
AU,KI,297428
AU,KR,25997045
AU,LA,137870
AU,LB,95164277
AU,LK,39258724
AU,LR,1254179
AU,LT,763260
AU,LU,651005
AU,LV,1987554
AU,MA,474558
AU,MD,188373
AU,ME,191870
AU,MK,2716767
AU,MM,712796
AU,MN,307157
AU,MT,10269306
AU,MU,4603314
AU,MV,172130
AU,MX,835722
AU,MY,13590550
AU,NC,17083673
AU,NG,11109427
AU,NI,209172
AU,NL,13348933
AU,NO,1471060
AU,NP,10710421
AU,NZ,22798579
AU,OM,225164
AU,PE,2262913
AU,PF,6187821
AU,PG,250521
AU,PH,100235937
AU,PK,12177787
AU,PL,10973486
AU,PT,4718056
AU,QA,2413043
AU,RO,2656017
AU,RS,12713246
AU,RU,1908254
AU,SA,1357843
AU,SB,1628008
AU,SC,794443
AU,SD,168995
AU,SE,9188782
AU,SI,1914228
AU,SK,2109421
AU,SL,116611
AU,SN,204923
AU,SV,3718024
AU,SY,453003
AU,TH,38308245
AU,TL,3486664
AU,TN,181480
AU,TO,2765015
AU,TR,1434410
AU,TZ,1022700
AU,UA,2452256
AU,UG,1831104
AU,US,18806242
AU,UY,351400
AU,VE,156666
AU,VN,118206298
AU,VU,357118
AU,WS,2663178
AU,YE,151823
AU,ZA,19020791
AU,ZM,157544
AW,CN,665648
AW,CO,2062274
AW,DO,1734349
AW,HT,256926
AW,IN,151822
AW,JM,145643
AW,NL,625709
AW,PE,219674
AW,PH,466485
AW,US,122926
AW,VE,141265
AZ,AM,681274
AZ,BY,1107570
AZ,CN,244708
AZ,DE,1153024
AZ,EE,255588
AZ,GE,1181285
AZ,HU,105925
AZ,KG,985657
AZ,KZ,184443
AZ,LT,887162
AZ,LV,433743
AZ,MD,730595
AZ,PL,831659
AZ,RO,102413
AZ,RU,12620144
AZ,TJ,1181982
AZ,UA,5483025
BA,DE,131751
BA,FR,130528
BA,HR,1846996
BA,ME,366053
BA,RS,1440814
BA,SI,266280
BA,SK,685592
BB,GB,336790
BB,GY,167661
BB,IN,253684
BB,JM,155174
BB,LC,236334
BB,US,312332
BB,VC,301680
BD,AG,1103434
BD,BR,1962750
BD,CN,99191601
BD,GB,2755728
BD,ID,27587054
BD,IN,12580389
BD,JP,6027991
BD,KH,451386
BD,LA,671611
BD,MM,2949548
BD,MY,20232510
BD,NO,4222309
BD,NP,6403685
BD,TH,6076746
BD,US,9440647
BD,VN,9642697
BE,AL,677678
BE,AM,1332796
BE,AT,2936971
BE,AU,568574
BE,AZ,121204
BE,BA,477894
BE,BD,401409
BE,BG,3923202
BE,BJ,111709
BE,BR,1702722
BE,BY,201329
BE,CA,578662
BE,CD,263440
BE,CH,1687468
BE,CI,191436
BE,CM,1417938
BE,CN,11830363
BE,CO,652163
BE,CY,110971
BE,CZ,3228728
BE,DE,33584408
BE,DK,3174136
BE,DO,581108
BE,DZ,2978723
BE,EE,368254
BE,EG,1216325
BE,ES,37561538
BE,ET,131885
BE,FI,1644413
BE,FR,231850927
BE,GB,4452022
BE,GE,692318
BE,GH,2282008
BE,GN,167882
BE,GR,996858
BE,HR,574813
BE,HT,104860
BE,HU,4859335
BE,ID,529563
BE,IE,589117
BE,IL,847143
BE,IN,7735830
BE,IQ,153732
BE,IR,593970
BE,IT,37874273
BE,JP,4289133
BE,KG,814457
BE,KR,341941
BE,LB,3261398
BE,LT,465640
BE,LU,24463003
BE,LV,468470
BE,MA,50789474
BE,ME,608007
BE,MK,333662
BE,MT,104180
BE,MU,223380
BE,MX,401085
BE,NE,335156
BE,NG,11009088
BE,NL,17935685
BE,NO,851555
BE,NP,659995
BE,PE,432686
BE,PH,3441383
BE,PK,2916084
BE,PL,11904570
BE,PT,7517936
BE,RO,7721228
BE,RS,6546738
BE,RU,3728253
BE,RW,459969
BE,SE,7373292
BE,SI,382733
BE,SK,2329689
BE,SN,1444881
BE,SY,143481
BE,TG,698430
BE,TH,4236972
BE,TN,2388964
BE,TR,3276018
BE,UA,783222
BE,US,4963458
BE,VN,1148045
BE,ZA,175709
BF,BJ,209133
BF,CI,18641148
BF,GH,7316950
BF,ML,6676726
BF,NE,853169
BF,NG,5640760
BF,SN,753459
BF,TG,1066024
BG,AL,120942
BG,AM,289900
BG,AT,117919
BG,AZ,182864
BG,BD,102578
BG,BE,832820
BG,CN,530223
BG,CZ,656994
BG,DE,887097
BG,ES,1403510
BG,FR,757576
BG,GB,268929
BG,GR,157555
BG,HU,274478
BG,IT,353662
BG,LB,569542
BG,MD,360434
BG,MK,116531
BG,NG,145248
BG,PL,208369
BG,RO,863060
BG,RS,609668
BG,RU,1422657
BG,SE,101788
BG,SK,105025
BG,TR,129895
BG,UA,829547
BG,US,260486
BG,VN,282078
BH,BD,19009963
BH,EG,36448788
BH,ET,119024
BH,FR,1176034
BH,GB,261631
BH,ID,6247321
BH,IL,317067
BH,IN,133625470
BH,JO,6864698
BH,LB,2196133
BH,LK,3775858
BH,MA,195728
BH,NG,1288502
BH,NP,225636
BH,PH,22358885
BH,PK,30349344
BH,QA,295748
BH,SD,179229
BH,SY,244336
BH,TH,607375
BH,TN,136367
BH,TR,133932
BH,US,299162
BH,YE,4057633
BI,BE,1037169
BI,FR,342956
BI,KE,221471
BI,RW,2626387
BI,TZ,3046206
BI,UG,178799
BJ,BF,1730431
BJ,CI,438259
BJ,FR,2194667
BJ,GH,2145427
BJ,ML,185236
BJ,NE,4968935
BJ,NG,65224157
BJ,TG,3246329
BM,CA,229342
BM,FR,139271
BM,GB,348021
BM,HT,402693
BM,IN,263608
BM,JM,353091
BM,LK,101286
BM,PH,644352
BM,PT,389341
BM,US,727241
BN,AU,369683
BN,BD,441213
BN,CN,673409
BN,GB,387875
BN,HK,358262
BN,IN,5893727
BN,JP,45711267
BN,KR,2537937
BN,LK,1625607
BN,NL,204537
BN,NP,125006
BN,NZ,981901
BN,PH,1790909
BN,PK,118212
BN,TH,16800639
BO,AR,2359417
BO,BE,526296
BO,BR,2950626
BO,CA,108520
BO,CH,170354
BO,CN,530387
BO,CO,481704
BO,DE,597325
BO,EC,164725
BO,ES,8733143
BO,FR,914978
BO,IT,354902
BO,JP,631401
BO,KR,101727
BO,MX,1678065
BO,PE,1689538
BO,PY,249551
BO,SE,150296
BO,US,824943
BR,AR,1918272
BR,AT,1305381
BR,AU,236296
BR,BE,3308147
BR,BO,5422777
BR,CA,158063
BR,CH,1158029
BR,CL,255343
BR,CN,11174525
BR,CO,1411553
BR,CR,147524
BR,CV,130355
BR,CZ,304888
BR,DE,6651814
BR,DK,251915
BR,DO,122261
BR,EC,368261
BR,EG,1537139
BR,ES,26560116
BR,FI,134516
BR,FR,12397634
BR,GB,420506
BR,GT,188611
BR,GW,112563
BR,HR,142720
BR,HU,1195332
BR,ID,137013
BR,IL,535465
BR,IN,377045
BR,IS,226136
BR,IT,11674264
BR,JO,484239
BR,JP,22184741
BR,KR,2046793
BR,LB,10606787
BR,LT,136782
BR,LU,145550
BR,MA,105076
BR,MX,542374
BR,NG,2016782
BR,NL,473783
BR,NO,174639
BR,PA,176700
BR,PE,2829967
BR,PH,158633
BR,PL,583136
BR,PT,31757785
BR,PY,2883091
BR,RO,234222
BR,RS,106589
BR,RU,101365
BR,SE,511327
BR,TH,274108
BR,US,4981437
BR,UY,686420
BR,VE,118427
BR,ZA,157555
BS,BM,295747
BS,CA,126411
BS,FR,167639
BS,GB,125153
BS,HT,5844657
BS,IN,240182
BS,JM,1119918
BS,NG,262750
BS,PH,455816
BS,US,947869
BT,CN,553126
BT,IN,18587639
BT,NP,148675
BW,AU,161489
BW,CN,2215465
BW,DE,474061
BW,DK,181379
BW,GB,631975
BW,IN,3724510
BW,IT,176366
BW,KE,219841
BW,LK,602844
BW,LS,403787
BW,MU,249222
BW,NG,1228257
BW,NO,122638
BW,PK,182746
BW,PT,110155
BW,SE,361825
BW,TZ,484312
BW,UG,585997
BW,US,243343
BW,ZA,3370143
BW,ZM,217195
BY,AM,1062018
